Sample,Filter,Date,People,Time(sec),Volume(mL),Chosen volume for all replicates (mL),Notes
,,,,120,130,,
,,,,150,150,,
,,,,180,170,,
,,,,210,190,,
,,,,240,210,,
,,,,270,230,,
,,,,300,250,,
12,Filter 1,20-Aug,Pancho ,30,50,,
,,,Pame,60,100,,
,,,,90,120,,
,,,,120,160,,
,,,,150,190,,
,,,,180,220,,
,,,,210,240,,
,,,,240,260,,
,,,,270,290,,
,,,,300,300,,
,Filter 2,20-Aug,Pancho ,30,100,,
,,,Pame,60,200,,
,,,,90,300,,
,,,,120,400,,
,Filter 3,20-Aug,Pancho ,30,100,,
,,,Pame,60,190,,
,,,,90,250,,
,,,,120,280,,
13,Filter 1,20-Aug,Pancho ,30,70,,
,,,Pame,60,100,,
,,,,90,160,,
,,,,120,210,,
,,,,150,260,,
,,,,180,300,,
,,,,210,320,,
,,,,240,340,,
,,,,270,350,,
,,,,300,370,,
,Filter 2,20-Aug,Pancho ,30,110,,
,,,Pame,60,230,,
,,,,90,290,,
,,,,120,350,,
,,,,150,400,,
,Filter 3,20-Aug,Pancho ,30,100,,
,,,Pame,60,190,,
,,,,90,250,,
,,,,120,320,,
,,,,150,390,,
